Price,Close,High,Low,Open,Volume
Ticker,GLD,GLD,GLD,GLD,GLD
Date,,,,,
2020-01-02,143.9499969482422,144.2100067138672,143.39999389648438,143.86000061035156,7733800
2020-01-03,145.86000061035156,146.32000732421875,145.39999389648438,145.75,12272800
2020-01-06,147.38999938964844,148.47999572753906,146.9499969482422,148.44000244140625,14403300
2020-01-07,147.97000122070312,148.13999938964844,147.42999267578125,147.57000732421875,7978500
2020-01-08,146.86000061035156,148.61000061035156,146.13999938964844,148.49000549316406,22248500
2020-01-09,146.02999877929688,146.41000366210938,145.44000244140625,146.07000732421875,10292300
2020-01-10,146.91000366210938,146.99000549316406,146.1699981689453,146.22000122070312,6183300
2020-01-13,145.82000732421875,146.3800048828125,145.77999877929688,146.35000610351562,7593800
2020-01-14,145.69000244140625,145.80999755859375,145.0800018310547,145.4199981689453,6589700
2020-01-15,146.5399932861328,146.72999572753906,145.82000732421875,146.2100067138672,6510000
2020-01-16,146.30999755859375,146.47000122070312,145.75999450683594,146.27000427246094,6069100
2020-01-17,146.5800018310547,146.99000549316406,146.30999755859375,146.50999450683594,11121100
2020-01-21,146.74000549316406,146.86000061035156,145.5500030517578,145.77000427246094,6086100
2020-01-22,146.7899932861328,146.80999755859375,146.3800048828125,146.67999267578125,4778200
2020-01-23,147.1199951171875,147.6199951171875,146.6199951171875,147.0,8419800
2020-01-24,147.97999572753906,148.3800048828125,146.88999938964844,146.89999389648438,9919900
2020-01-27,148.99000549316406,149.32000732421875,148.4600067138672,149.24000549316406,9988100
2020-01-28,147.66000366210938,148.55999755859375,147.52999877929688,148.36000061035156,7543100
2020-01-29,148.4600067138672,148.55999755859375,147.61000061035156,147.6999969482422,5013100
2020-01-30,148.47000122070312,149.30999755859375,148.00999450683594,148.69000244140625,9119500
2020-01-31,149.3300018310547,149.67999267578125,148.80999755859375,148.8800048828125,14788300
2020-02-03,148.36000061035156,148.77999877929688,147.67999267578125,148.66000366210938,9105300
2020-02-04,146.42999267578125,147.02999877929688,145.8000030517578,146.97000122070312,10525600
2020-02-05,146.61000061035156,146.80999755859375,146.16000366210938,146.3800048828125,6160700
2020-02-06,147.39999389648438,147.6300048828125,147.0,147.27999877929688,4819800
2020-02-07,147.7899932861328,148.17999267578125,147.33999633789062,147.8300018310547,6379300
2020-02-10,148.1699981689453,148.4499969482422,147.91000366210938,148.2100067138672,5793600
2020-02-11,147.66000366210938,148.16000366210938,147.00999450683594,148.02999877929688,5179400
2020-02-12,147.5399932861328,147.80999755859375,147.16000366210938,147.4199981689453,5040600
2020-02-13,148.3800048828125,148.5800018310547,147.9499969482422,148.24000549316406,7082100
2020-02-14,149.0,149.1300048828125,148.6300048828125,148.74000549316406,5345400
2020-02-18,150.91000366210938,151.08999633789062,149.47000122070312,149.8800048828125,11524900
2020-02-19,151.7899932861328,151.82000732421875,150.82000732421875,151.0,9269800
2020-02-20,152.41000366210938,152.8300018310547,151.9499969482422,152.0,8457300
2020-02-21,154.6999969482422,155.22000122070312,154.17999267578125,154.42999267578125,16344500
2020-02-24,156.08999633789062,158.52999877929688,155.36000061035156,158.5,27171000
2020-02-25,153.3000030517578,156.0800018310547,152.91000366210938,155.1199951171875,28091500
2020-02-26,153.97000122070312,155.27999877929688,152.89999389648438,153.82000732421875,17912500
